num,first_author,title,finding_id,finding_type,severity,status,message,links
2020-01,Wendt,"Multivariate genome-wide analysis of education, socioeconomic status and brain phenome",F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: All GWAS association data and analysis materials used in this study are publicly...",
2020-02,Dietze,Framing economic inequality and policy as group disadvantages (versus group advantages) spurs support for action,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/f9sr7/ https://osf.io/f9sr7,https://osf.io/f9sr7/ https://osf.io/f9sr7
2020-03,Kelly,Neurocomputational mechanisms of prior-informed perceptual decision-making in humans,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/53gmw/ https://osf.io/53gmw,https://osf.io/53gmw/ https://osf.io/53gmw
2020-04,Xia,Evidence of horizontal indirect genetic effects in humans,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the results presented in this paper can be accessed from U...",
2020-05,Gunderson,Counterevidence of crime-reduction effects from federal grants of military equipment to local police,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings of this study are publicly available through ...",
2020-06,Lowande,Police demilitarization and violent crime,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data supporting the findings reported in this study, along with the underlyi...",
2020-07,Woolnough,Spatiotemporal dynamics of orthographic and lexical processing in the ventral visual pathway,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The datasets generated from this research are not publicly available due to thei...",
2020-08,Thoret,Learning metrics on spectrotemporal modulations reveals the perception of musical instrument timbre,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/EtienneTho/musical-timbre-studies https://github.com/EtienneTho/musical-timbre-studies.,https://github.com/EtienneTho/musical-timbre-studies https://github.com/EtienneTho/musical-timbre-studies.
2020-09,Lydon-Staley,"Hunters, busybodies and the knowledge network building associated with deprivation curiosity",F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/dalejn/kinestheticCuriosity,https://github.com/dalejn/kinestheticCuriosity
2020-10,Marshall,Children punish third parties to satisfy both consequentialist and retributive motives,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/ht7j6 https://osf.io/ht7j6/,https://osf.io/ht7j6 https://osf.io/ht7j6/
2020-11,Druckman,"Affective polarization, local contexts and public opinion in America",F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/azrxm/ https://osf.io/azrxm,https://osf.io/azrxm/ https://osf.io/azrxm
2020-12,Suzuki,"Distinct regions of the striatum underlying effort, movement initiation and effort discounting",F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Contrast maps of fMRI data that support the findings of this study are available...",
2020-13,Djonlagic,Macro and micro sleep architecture and cognitive performance in older adults,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: http://github.com/remnrem/luna-base/,http://github.com/remnrem/luna-base/
2020-16,Aaroe,Genetic predictors of educational attainment and intelligence test performance predict voter turnout,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Owing to the consent structure of the iPSYCH and Danish law, the data cannot be ...",
2020-17,Findling,Imprecise neural computations as a source of adaptive behaviour in volatile environments,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/csmfindling/learning_variability_and_volatility,https://github.com/csmfindling/learning_variability_and_volatility
2020-18,Jay,Neighbourhood income and physical distancing during the COVID-19 pandemic in the United States,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/USCOVIDpolicy/COVID-19-US-State-Policy-Database&#xA; https://github.com/USCOVIDpolicy/COVID-19-US-State-Policy-Database,https://github.com/USCOVIDpolicy/COVID-19-US-State-Policy-Database&#xA; https://github.com/USCOVIDpolicy/COVID-19-US-State-Policy-Database https://github.com/jonjaybu/nhincome_covid/
2020-19,Vosberg,Sex continuum in the brain and body during adolescence and psychological traits,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data are available upon request, addressed to T.P. (tpausresearch@gmail.com)...",
2020-20,Gollwitzer,Partisan differences in physical distancing are linked to health outcomes during the COVID-19 pandemic,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://doi.org/10.31234/osf.io/k23cv https://doi.org/10.31234/osf.io/kvnwp,https://doi.org/10.31234/osf.io/k23cv https://doi.org/10.31234/osf.io/kvnwp https://osf.io/u5pmw https://osf.io/yx7zs https://osf.io/u5pmw/?view_only=33f0691a7e694276bef606cb3e22d141 https://osf.io/yx7zs/ https://doi.org/10.31234/osf.io/ztgpn
2020-21,Gallotti,Assessing the risks of ‘infodemics’ in response to COVID-19 epidemics,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://doi.org/10.31234/osf.io/tdfh5,https://doi.org/10.31234/osf.io/tdfh5
2020-22,Bainbridge,Infants relax in response to unfamiliar foreign lullabies,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/vcybz https://osf.io/2t6cy,https://osf.io/vcybz https://osf.io/2t6cy https://doi.org/10.31234/osf.io/sqatb https://github.com/themusiclab/infant-relax
2020-23,Chu,Air pollution as a determinant of food delivery and related plastic waste,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Data collected in the study 1 panel survey, including pictures uploaded by respo...",
2020-24,Assaneo,Speaking rhythmically can shape hearing,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support this study are available from the corresponding authors up...",
2020-25,Burum,An evolutionary explanation for ineffective altruism,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings reported in this paper are available from the...",
